amount,transaction_type,merchant_category,location,device_used,is_fraud
615.17,deposit,entertainment,Tokyo,mobile,False
547.21,deposit,entertainment,New York,mobile,False
821.67,deposit,online,New York,atm,False
32.69,transfer,entertainment,Tokyo,atm,False
1368.31,deposit,online,New York,mobile,False
11.41,transfer,online,Tokyo,atm,False
1379.45,deposit,online,New York,mobile,False
1438.32,deposit,online,Tokyo,atm,False
39.65,transfer,online,New York,mobile,False
1111.58,deposit,online,Tokyo,mobile,False
44.67,transfer,entertainment,Tokyo,mobile,False
32.87,transfer,entertainment,Tokyo,atm,False
7.59,transfer,online,New York,atm,False
766.1,deposit,online,Tokyo,mobile,False
543.49,deposit,entertainment,Tokyo,mobile,False
14.48,transfer,entertainment,Tokyo,atm,False
10.76,transfer,entertainment,New York,mobile,False
9.24,transfer,entertainment,New York,mobile,False
1428.56,deposit,entertainment,Tokyo,mobile,False
1866.68,deposit,online,New York,atm,False
1916.17,deposit,entertainment,New York,mobile,False
12.76,transfer,online,New York,atm,False
14.66,transfer,online,Tokyo,mobile,False
1443.01,deposit,online,New York,mobile,False
1520.24,deposit,entertainment,Tokyo,mobile,False
1247.53,deposit,entertainment,Tokyo,atm,False
814.42,deposit,online,Tokyo,atm,False
1532.25,deposit,entertainment,New York,mobile,False
1260.81,deposit,entertainment,Tokyo,atm,False
1203.72,deposit,online,New York,mobile,False
25.41,transfer,online,Tokyo,mobile,False
1312.88,deposit,entertainment,Tokyo,atm,False
12.2,transfer,online,Tokyo,atm,False
1150.82,deposit,online,New York,atm,False
1099.2,deposit,online,New York,atm,False
770.98,deposit,online,Tokyo,mobile,False
1405.37,deposit,online,Tokyo,atm,False
27.51,transfer,entertainment,New York,atm,False
33.93,transfer,online,New York,atm,False
1004.71,deposit,online,New York,atm,False
1610.93,deposit,entertainment,Tokyo,mobile,False
39.97,transfer,entertainment,Tokyo,atm,False
1394.44,deposit,entertainment,New York,mobile,False
11.89,transfer,online,Tokyo,atm,False
634.53,deposit,entertainment,Tokyo,atm,False
740.19,deposit,online,New York,mobile,False
1484.74,deposit,online,New York,atm,False
1412.73,deposit,online,New York,atm,False
1447.07,deposit,entertainment,Tokyo,mobile,False
46.4,transfer,entertainment,Tokyo,atm,False
442.05,deposit,online,New York,mobile,False
1449.84,deposit,online,New York,atm,False
1578.55,deposit,entertainment,Tokyo,atm,False
1167.47,deposit,online,Tokyo,atm,False
991.16,deposit,online,Tokyo,mobile,False
10.58,transfer,online,Tokyo,mobile,False
1309.05,deposit,online,New York,atm,False
11.29,transfer,entertainment,Tokyo,mobile,False
1592.97,deposit,online,Tokyo,mobile,False
845.56,deposit,online,New York,atm,False
5.96,transfer,entertainment,Tokyo,atm,False
59.85,transfer,entertainment,New York,mobile,False
13.27,transfer,entertainment,Tokyo,atm,False
1161.18,deposit,entertainment,New York,atm,False
532.03,deposit,online,Tokyo,mobile,False
1891.63,deposit,entertainment,Tokyo,mobile,False
8.17,transfer,entertainment,New York,mobile,False
9.05,transfer,entertainment,New York,mobile,False
10.61,transfer,entertainment,Tokyo,atm,False
610.4,deposit,entertainment,Tokyo,mobile,False
1063.19,deposit,entertainment,New York,mobile,False
338,deposit,online,New York,atm,False
1381.65,deposit,entertainment,Tokyo,mobile,False
22.46,transfer,online,Tokyo,atm,False
228.61,deposit,entertainment,New York,atm,False
1159.63,deposit,entertainment,Tokyo,mobile,False
362.83,deposit,online,New York,atm,False
1018.97,deposit,online,New York,atm,False
1752.08,deposit,entertainment,Tokyo,atm,False
10.91,transfer,entertainment,Tokyo,atm,False
25.93,transfer,entertainment,New York,atm,False
1615.4,deposit,entertainment,Tokyo,atm,False
13.87,transfer,entertainment,Tokyo,atm,False
5.02,transfer,entertainment,Tokyo,atm,False
365.06,deposit,online,New York,atm,False
1659.14,deposit,entertainment,Tokyo,mobile,False
44.97,transfer,online,Tokyo,atm,False
16.31,transfer,entertainment,Tokyo,atm,False
2252.34,deposit,entertainment,New York,atm,False
157.18,transfer,online,Tokyo,mobile,False
35.22,transfer,entertainment,New York,atm,False
8.95,transfer,entertainment,Tokyo,atm,False
83.12,transfer,entertainment,Tokyo,atm,False
6.29,transfer,online,New York,atm,False
631.41,deposit,entertainment,Tokyo,mobile,False
28.94,transfer,online,New York,atm,False
869.54,deposit,online,New York,mobile,False
39.75,transfer,online,New York,atm,False
3.32,transfer,entertainment,New York,atm,False
0.01,deposit,entertainment,New York,atm,False
42.47,transfer,online,Tokyo,atm,False
14.02,transfer,online,Tokyo,mobile,False
12.05,transfer,entertainment,Tokyo,mobile,False
541.1,deposit,entertainment,New York,mobile,False
1663.67,deposit,online,Tokyo,mobile,False
1376.32,deposit,entertainment,Tokyo,atm,False
894.49,deposit,online,Tokyo,mobile,False
11.89,transfer,entertainment,New York,atm,False
4.32,transfer,online,Tokyo,atm,False
613.45,deposit,online,Tokyo,mobile,False
1681.87,deposit,entertainment,New York,atm,False
995.39,deposit,online,Tokyo,atm,False
15.23,transfer,entertainment,Tokyo,mobile,False
161.18,deposit,entertainment,New York,mobile,False
8.05,transfer,online,New York,mobile,False
376.01,deposit,entertainment,New York,atm,False
17.62,transfer,entertainment,Tokyo,atm,False
12.36,transfer,entertainment,New York,mobile,False
28.46,transfer,entertainment,Tokyo,atm,False
648.17,deposit,online,Tokyo,atm,False
16.48,transfer,entertainment,New York,mobile,False
635.34,deposit,online,Tokyo,mobile,False
8.48,transfer,entertainment,Tokyo,mobile,False
62.36,transfer,online,New York,atm,False
767.75,deposit,online,Tokyo,mobile,False
4.05,transfer,entertainment,Tokyo,atm,False
37.2,transfer,entertainment,New York,atm,False
578.42,deposit,online,Tokyo,atm,False
28.78,transfer,entertainment,Tokyo,mobile,False
39.71,transfer,entertainment,New York,mobile,False
1002.66,deposit,online,Tokyo,mobile,False
469.55,deposit,online,Tokyo,mobile,False
18.61,transfer,online,Tokyo,mobile,False
1261.38,deposit,entertainment,Tokyo,mobile,False
1140.79,deposit,online,New York,atm,False
23.68,transfer,online,Tokyo,mobile,False
821.04,deposit,online,Tokyo,mobile,False
1722.96,deposit,entertainment,Tokyo,atm,False
966.4,deposit,entertainment,Tokyo,mobile,False
31.65,transfer,online,Tokyo,mobile,False
64.58,transfer,online,Tokyo,mobile,False
1489.23,deposit,online,New York,mobile,False
23.39,transfer,online,Tokyo,atm,False
8.69,transfer,online,Tokyo,atm,False
14.32,transfer,online,New York,mobile,False
5.74,transfer,entertainment,Tokyo,mobile,False
904.1,deposit,online,Tokyo,mobile,False
21.64,transfer,online,Tokyo,mobile,False
1105.81,deposit,entertainment,New York,mobile,False
598.85,deposit,entertainment,New York,mobile,False
78.87,transfer,online,Tokyo,atm,False
6.15,transfer,entertainment,New York,atm,False
21.07,transfer,entertainment,New York,atm,False
17.28,transfer,online,New York,mobile,False
1218.78,deposit,online,Tokyo,mobile,False
889.13,deposit,entertainment,New York,atm,False
23.57,transfer,online,Tokyo,atm,False
11.59,transfer,entertainment,Tokyo,atm,False
51.24,transfer,entertainment,Tokyo,mobile,False
827.67,deposit,online,Tokyo,atm,False
59.81,transfer,entertainment,New York,atm,False
4.72,transfer,entertainment,Tokyo,atm,False
9.86,transfer,entertainment,New York,mobile,False
977.23,deposit,entertainment,New York,mobile,False
685.78,deposit,entertainment,New York,atm,False
12.33,transfer,entertainment,Tokyo,mobile,False
11.12,transfer,entertainment,Tokyo,atm,False
27.81,transfer,entertainment,New York,atm,False
252.27,deposit,online,New York,atm,False
16.27,transfer,online,Tokyo,mobile,False
59.83,transfer,entertainment,Tokyo,mobile,False
564.55,deposit,online,Tokyo,atm,False
502.93,deposit,entertainment,New York,atm,False
665.75,deposit,online,New York,atm,False
936.02,deposit,entertainment,Tokyo,atm,False
859.83,deposit,entertainment,New York,atm,False
1006.4,deposit,online,Tokyo,mobile,False
38.02,transfer,entertainment,Tokyo,mobile,False
711.48,deposit,online,New York,mobile,False
10.59,transfer,entertainment,New York,mobile,False
2.84,transfer,online,Tokyo,mobile,False
343.43,deposit,online,New York,mobile,False
44.58,transfer,entertainment,New York,mobile,False
765.7,deposit,online,New York,atm,False
15.27,transfer,entertainment,New York,atm,False
936.92,deposit,online,Tokyo,atm,False
1079.01,deposit,online,New York,atm,False
13.66,transfer,entertainment,New York,mobile,False
1035.98,deposit,entertainment,Tokyo,mobile,False
1232.47,deposit,online,New York,atm,False
1468.97,deposit,online,New York,atm,False
5.36,transfer,online,New York,mobile,False
40.56,transfer,online,Tokyo,atm,False
1131.29,deposit,online,Tokyo,mobile,False
1466.88,deposit,entertainment,Tokyo,mobile,False
529.66,deposit,entertainment,Tokyo,atm,False
23.75,transfer,online,Tokyo,atm,False
11.28,transfer,entertainment,New York,mobile,False
1151.44,deposit,online,Tokyo,mobile,False
978.28,deposit,online,Tokyo,mobile,False
1211.49,deposit,online,Tokyo,mobile,False
0.01,deposit,online,Tokyo,mobile,False
892.56,deposit,online,Tokyo,atm,False
1337.32,deposit,entertainment,New York,mobile,False
41.74,transfer,entertainment,Tokyo,atm,False
1265.9,deposit,entertainment,New York,mobile,False
55.19,transfer,online,New York,mobile,False
37.89,transfer,entertainment,New York,atm,False
18.87,transfer,entertainment,New York,atm,False
4.63,transfer,entertainment,New York,atm,False
32.58,transfer,online,New York,atm,False
1798,deposit,online,Tokyo,mobile,False
15.25,transfer,entertainment,Tokyo,mobile,False
24.41,transfer,online,Tokyo,mobile,False
14.47,transfer,entertainment,Tokyo,atm,False
1245.81,deposit,entertainment,New York,mobile,False
24.98,transfer,online,New York,atm,False
1164.52,deposit,entertainment,New York,atm,False
13.73,transfer,online,New York,mobile,False
1190.57,deposit,online,Tokyo,atm,False
954.9,deposit,online,New York,atm,False
1129.1,deposit,entertainment,Tokyo,atm,False
995.97,deposit,online,New York,mobile,False
1110.31,deposit,online,New York,mobile,False
1945.45,deposit,entertainment,New York,mobile,False
130.82,transfer,entertainment,New York,mobile,False
21.34,transfer,entertainment,Tokyo,mobile,False
180.05,deposit,entertainment,New York,atm,False
6.3,transfer,online,Tokyo,atm,False
7.04,transfer,entertainment,New York,mobile,False
2268.3,deposit,entertainment,New York,mobile,False
1102.87,deposit,online,New York,mobile,False
32.7,transfer,entertainment,Tokyo,atm,False
785.42,deposit,entertainment,New York,mobile,False
19.44,transfer,entertainment,Tokyo,atm,False
604.23,deposit,online,New York,atm,False
1018.49,deposit,online,Tokyo,mobile,False
470.24,deposit,online,New York,atm,False
22.72,transfer,entertainment,New York,mobile,False
46.37,transfer,online,Tokyo,mobile,False
954.82,deposit,entertainment,New York,atm,False
23.19,transfer,entertainment,Tokyo,mobile,False
1408.73,deposit,entertainment,New York,mobile,False
1327.15,deposit,entertainment,Tokyo,atm,False
1159.35,deposit,online,New York,atm,False
8.6,transfer,entertainment,Tokyo,atm,False
1482.34,deposit,entertainment,Tokyo,mobile,False
162.77,deposit,online,New York,atm,False
683.51,deposit,online,New York,mobile,False
12.85,transfer,entertainment,Tokyo,atm,False
580.32,deposit,online,Tokyo,mobile,False
1713.92,deposit,online,New York,mobile,False
4.85,transfer,online,New York,atm,False
25.27,transfer,entertainment,Tokyo,mobile,False
1082.25,deposit,entertainment,Tokyo,atm,False
17.55,transfer,entertainment,Tokyo,atm,False
5.25,transfer,entertainment,Tokyo,atm,False
1513.96,deposit,online,New York,atm,False
23.16,transfer,online,Tokyo,mobile,False
45.63,transfer,online,Tokyo,mobile,False
629.85,deposit,entertainment,Tokyo,atm,False
127.39,deposit,online,New York,atm,False
7.62,transfer,entertainment,New York,atm,False
42.12,transfer,entertainment,New York,atm,False
46.43,transfer,entertainment,New York,mobile,False
12.12,transfer,online,New York,atm,False
1263.01,deposit,entertainment,Tokyo,atm,False
315.29,deposit,online,Tokyo,atm,False
1331.03,deposit,online,New York,atm,False
1324.79,deposit,online,New York,atm,False
2004.9,deposit,entertainment,New York,atm,False
241.67,deposit,online,Tokyo,atm,False
43.16,transfer,online,Tokyo,atm,False
482.27,deposit,online,Tokyo,atm,False
1425.59,deposit,entertainment,New York,mobile,False
1551.37,deposit,online,New York,mobile,False
4.79,transfer,entertainment,Tokyo,mobile,False
11.92,transfer,entertainment,New York,mobile,False
38.18,transfer,entertainment,Tokyo,atm,False
7.44,transfer,entertainment,New York,atm,False
9.03,transfer,online,New York,atm,False
26.67,transfer,entertainment,Tokyo,mobile,False
1069.19,deposit,entertainment,Tokyo,mobile,False
28.73,transfer,online,New York,mobile,False
21.16,transfer,entertainment,New York,atm,False
1592.13,deposit,entertainment,New York,atm,False
0.01,deposit,online,Tokyo,atm,False
19.39,transfer,online,New York,atm,False
0.01,deposit,online,New York,mobile,False
9.72,transfer,entertainment,New York,atm,False
1559.91,deposit,entertainment,Tokyo,mobile,False
540.86,deposit,online,Tokyo,mobile,False
1321.37,deposit,entertainment,New York,atm,False
1300.82,deposit,online,Tokyo,atm,False
481.39,deposit,online,Tokyo,mobile,False
987.88,deposit,entertainment,Tokyo,mobile,False
84.01,transfer,online,Tokyo,mobile,False
15.35,transfer,online,Tokyo,atm,False
11.01,transfer,entertainment,Tokyo,mobile,False
225.56,deposit,entertainment,Tokyo,atm,False
1828.82,deposit,entertainment,New York,atm,False
11.8,transfer,entertainment,Tokyo,mobile,False
1914.49,deposit,online,New York,atm,False
1225.24,deposit,entertainment,New York,mobile,False
160.3,transfer,online,Tokyo,atm,False
855.48,deposit,online,New York,mobile,False
1283.79,deposit,online,New York,atm,False
15.58,transfer,online,Tokyo,mobile,False
10.17,transfer,entertainment,Tokyo,atm,False
1616.47,deposit,entertainment,Tokyo,atm,False
15.24,transfer,entertainment,Tokyo,atm,False
16.95,transfer,entertainment,Tokyo,atm,False
1979.38,deposit,entertainment,Tokyo,atm,False
41.67,transfer,online,New York,mobile,False
590.01,deposit,online,New York,mobile,False
11.44,transfer,entertainment,New York,mobile,False
15.9,transfer,entertainment,New York,atm,False
1601.46,deposit,online,New York,mobile,False
621.4,deposit,entertainment,New York,atm,False
997.35,deposit,entertainment,Tokyo,atm,False
31.4,deposit,entertainment,New York,mobile,False
9.34,transfer,entertainment,Tokyo,atm,False
688.74,deposit,entertainment,Tokyo,mobile,False
85.47,transfer,online,Tokyo,mobile,False
16.31,transfer,online,New York,mobile,False
21.81,transfer,entertainment,Tokyo,mobile,False
17.46,transfer,online,New York,atm,False
681.5,deposit,entertainment,Tokyo,atm,False
18.76,transfer,online,Tokyo,mobile,False
5.89,transfer,online,New York,atm,False
25.25,transfer,entertainment,Tokyo,mobile,False
30.85,transfer,online,New York,mobile,False
870.47,deposit,online,New York,mobile,False
11.64,transfer,entertainment,Tokyo,atm,False
1780.77,deposit,online,Tokyo,atm,False
20.84,transfer,online,Tokyo,atm,False
6.28,transfer,online,Tokyo,atm,False
12.08,transfer,online,New York,atm,False
1763.52,deposit,online,Tokyo,atm,False
29.36,transfer,entertainment,New York,atm,False
1031.59,deposit,entertainment,New York,atm,False
16.67,transfer,entertainment,Tokyo,mobile,False
1482.92,deposit,online,New York,mobile,False
520.56,deposit,entertainment,New York,mobile,False
13.95,transfer,online,Tokyo,atm,False
13.01,transfer,entertainment,Tokyo,mobile,False
1063.81,deposit,online,Tokyo,atm,False
19.56,transfer,entertainment,Tokyo,atm,False
81.65,transfer,online,New York,mobile,False
15.97,transfer,entertainment,Tokyo,mobile,False
14.88,transfer,entertainment,Tokyo,mobile,False
970.63,deposit,online,Tokyo,atm,False
1186.99,deposit,online,Tokyo,atm,False
869.63,deposit,online,Tokyo,mobile,False
868.58,deposit,entertainment,Tokyo,atm,False
596.84,deposit,entertainment,New York,atm,False
720.27,deposit,online,New York,mobile,False
1320.72,deposit,online,Tokyo,atm,False
7.49,transfer,online,New York,mobile,False
28.04,transfer,online,New York,mobile,False
10.26,transfer,entertainment,New York,mobile,False
37.12,transfer,online,New York,mobile,False
24.54,transfer,entertainment,Tokyo,mobile,False
46.23,transfer,entertainment,Tokyo,atm,False
18.15,transfer,entertainment,Tokyo,mobile,False
819.31,deposit,entertainment,New York,atm,False
12.21,transfer,entertainment,Tokyo,atm,False
1209.42,deposit,entertainment,Tokyo,mobile,False
19,transfer,online,Tokyo,mobile,False
35.09,transfer,entertainment,Tokyo,mobile,False
11.17,transfer,online,Tokyo,mobile,False
10.14,transfer,online,Tokyo,atm,False
397.61,deposit,online,New York,atm,False
515.32,deposit,entertainment,New York,atm,False
1473.29,deposit,entertainment,New York,atm,False
907.02,deposit,online,Tokyo,atm,False
3.82,transfer,online,New York,atm,False
14.83,transfer,online,New York,mobile,False
60.68,transfer,entertainment,New York,atm,False
212.78,deposit,entertainment,Tokyo,atm,False
823.21,deposit,online,New York,atm,False
7.76,transfer,entertainment,New York,atm,False
682.55,deposit,entertainment,Tokyo,mobile,False
21.34,transfer,online,Tokyo,atm,False
2113.57,deposit,online,New York,atm,False
31.98,transfer,entertainment,Tokyo,mobile,False
1375.86,deposit,entertainment,Tokyo,mobile,False
27.09,transfer,entertainment,New York,atm,False
23.14,transfer,online,Tokyo,atm,False
40.04,transfer,online,Tokyo,mobile,False
1758.49,deposit,entertainment,Tokyo,atm,False
31.23,transfer,entertainment,New York,atm,False
1287.95,deposit,online,Tokyo,mobile,False
960.89,deposit,entertainment,New York,atm,False
819.01,deposit,entertainment,New York,atm,False
28.41,transfer,entertainment,Tokyo,atm,False
1616.2,deposit,online,Tokyo,mobile,False
825.15,deposit,online,New York,atm,False
42.04,transfer,online,Tokyo,mobile,False
17.64,transfer,entertainment,New York,mobile,False
11.8,transfer,online,New York,mobile,False
263.27,deposit,online,New York,atm,False
1208.58,deposit,online,Tokyo,atm,False
13.89,transfer,entertainment,New York,atm,False
1374.66,deposit,entertainment,New York,mobile,False
1095.06,deposit,entertainment,New York,atm,False
43.48,transfer,entertainment,New York,atm,False
28.17,transfer,online,New York,atm,False
11.86,transfer,entertainment,Tokyo,mobile,False
0.01,deposit,entertainment,Tokyo,mobile,False
587.55,deposit,entertainment,New York,mobile,False
1177.27,deposit,entertainment,New York,atm,False
2006.54,deposit,entertainment,Tokyo,atm,False
73.51,transfer,entertainment,New York,atm,False
894.76,deposit,entertainment,New York,mobile,False
1168.31,deposit,online,Tokyo,atm,False
1970.28,deposit,online,Tokyo,atm,False
46,transfer,online,Tokyo,mobile,False
1543.88,deposit,online,New York,atm,False
25.31,transfer,entertainment,Tokyo,mobile,False
509.1,deposit,entertainment,New York,mobile,False
14.43,transfer,entertainment,New York,mobile,False
521.55,deposit,entertainment,Tokyo,atm,False
12.65,transfer,online,Tokyo,mobile,False
8.5,transfer,online,Tokyo,mobile,False
22.89,transfer,entertainment,Tokyo,atm,False
64.83,transfer,entertainment,New York,atm,False
1587.27,deposit,online,Tokyo,atm,False
448.48,deposit,online,New York,mobile,False
1899.06,deposit,entertainment,New York,mobile,False
68.8,transfer,entertainment,Tokyo,atm,False
572.17,deposit,entertainment,Tokyo,atm,False
9.77,transfer,online,Tokyo,atm,False
37.47,transfer,entertainment,New York,mobile,False
617.53,deposit,entertainment,Tokyo,atm,False
484.94,deposit,online,New York,atm,False
16.22,transfer,online,Tokyo,mobile,False
36.13,transfer,online,New York,mobile,False
11.58,transfer,online,New York,mobile,False
20.35,transfer,online,New York,mobile,False
7.64,transfer,entertainment,Tokyo,atm,False
13.38,transfer,online,Tokyo,mobile,False
830.47,deposit,online,Tokyo,mobile,False
1487.4,deposit,entertainment,Tokyo,mobile,False
26.14,transfer,entertainment,New York,atm,False
28.6,transfer,entertainment,New York,mobile,False
708.69,deposit,online,Tokyo,mobile,False
7.11,deposit,entertainment,Tokyo,mobile,False
11.78,transfer,entertainment,New York,atm,False
976.48,deposit,online,New York,atm,False
