Run,Base_Cake,Desiccator,T_C,RH_pct,Initial_g,Final_g,Time_min,Pct_Change,RH_Sensor,Run_Global
75,A,3.014592866,23.99999999,43.95778507,2.393996182,2.645893626,3331.334361,10.60130152,RH03,75
76,A,8.140798737,24,58.5261445,2.4155183,2.421260675,1335.266174,0.215652049,RH01,76
77,A,14.57070378,24,66.42577497,2.418275742,2.582686204,335.0035231,6.669041534,RH01,77
78,A,3.019650506,24,31.3712369,2.345116024,2.151871047,93.44231911,-7.573531673,RH01,78
79,A,8.90595895,24,90.31246528,2.41366451,2.545192992,475.1983684,5.554846039,RH02,79
80,A,11.14193908,24,45.93023714,2.402923869,2.305206095,-398.2577673,-4.192088343,RH01,80
81,A,6.140122061,24,88.88159127,2.417750717,2.496508989,-1052.665913,3.279652888,RH02,81
82,A,18.52204712,24,87.9872238,2.439559715,2.750343373,2609.251561,12.67652005,RH03,82
83,A,25.24871057,23.99999999,97.86315749,2.383633295,2.654085966,2073.210546,11.20312997,RH04,83
84,A,16.43536518,24,66.48320764,2.443873414,2.682313488,216.0297454,9.656772168,RH01,84
85,A,8.485027382,24,77.52963216,2.425438051,2.729256257,2089.448269,12.50079484,RH01,85
86,A,21.17063636,24,92.23687837,2.433171975,2.730573134,-113.2869652,12.14856472,RH04,86
87,A,11.38085926,24,64.92304332,2.431816389,2.849616096,4287.323509,17.22288763,RH01,87
88,A,3.420071531,24,42.88940052,2.393829188,2.357312853,337.523288,-1.522123025,RH01,88
89,A,17.32316041,24,69.21603041,2.400964646,2.675400609,2785.894792,11.46820795,RH02,89
90,A,6.695740334,24,44.91546214,2.383016727,2.417375103,-52.04975396,1.364756235,RH03,90
91,A,12.58307071,24,64.69359605,2.450742799,2.983902019,4796.825561,22.01772718,RH03,91
92,A,7.549221127,24,76.46445773,2.408129787,3.053999696,4501.437963,26.88355426,RH01,92
93,A,15.29570342,24,55.23519539,2.382356322,2.635719456,2397.309935,10.64677458,RH01,93
94,A,16.98408472,24,58.82648585,2.437084599,2.794437092,874.389909,14.69460532,RH01,94
95,A,6.610272312,24,76.21198682,2.447099104,2.673563138,682.7166377,9.241975666,RH03,95
96,A,13.30662565,24,66.31071983,2.452589968,2.408125957,1531.840016,-2.109663233,RH01,96
97,A,3.053368891,24,42.79530178,2.454825043,2.682059378,1769.520176,9.205862426,RH04,97
98,A,20.54673747,24,81.35994072,2.441463103,2.856369538,3313.576717,17.15764713,RH03,98
99,A,12.11244058,24,82.75467288,2.381949898,2.629055234,1816.097331,10.47404978,RH01,99
100,A,18.0646274,23.99999999,85.4314789,2.401748771,2.634378865,1763.06996,9.627101621,RH03,100
101,A,8.982406014,24,59.45966398,2.413339149,2.378996939,-1115.135854,-1.537045065,RH02,101
102,A,13.9912035,24,65.83959553,2.435808834,2.628723229,1138.496387,7.815364656,RH01,102
103,A,15.84982847,24,78.7363791,2.435442163,2.854660384,3787.43897,17.26985903,RH03,103
104,A,11.62865582,24,64.54207495,2.450667626,2.879553206,4101.366685,17.68773135,RH01,104
105,A,12.60902617,24,59.46145265,2.435207929,2.810920268,2244.836244,15.47327039,RH01,105
106,A,15.74604992,24,90.87427617,2.421511538,3.125160418,4115.365895,29.308101,RH03,106
107,A,19.63579321,24,99.502082,2.392845585,2.711789031,2132.287751,13.28374265,RH03,107
108,A,22.11817915,24,82.73749532,2.37179053,2.558325541,1390.015444,7.797226193,RH01,108
109,A,19.89977428,24,93.96249345,2.423292408,3.034840676,4235.16798,25.32409744,RH03,109
110,A,27.79581566,24,76.36321979,2.393155171,2.779851863,1727.556309,16.10007334,RH03,110
111,A,13.14715242,24,81.22719086,2.444830213,2.353739344,-1397.608573,-3.901151735,RH02,111
112,A,27.25373822,24,106.9783692,2.431400667,2.953950083,2413.509436,21.51799598,RH01,112
113,A,18.63438357,24,48.75579298,2.40322211,2.609941404,2170.008149,8.413470385,RH01,113
114,A,14.19805587,24,102.1972568,2.416797099,2.810357456,1327.220359,16.43608802,RH03,114
115,A,11.10036638,24,60.92988701,2.407723192,2.516037133,-717.7622057,4.40478415,RH03,115
116,A,14.77285192,24,66.58392473,2.476988806,2.811178893,731.8550497,13.49315354,RH03,116
117,A,12.47621519,24,99.81825542,2.410825076,2.790355198,2046.98837,15.7438772,RH02,117
118,A,12.41370836,24,72.28795862,2.396772144,2.518825033,138.8980477,4.987179358,RH03,118
119,A,24.2909159,24,88.55414728,2.413234936,2.646601753,2038.870073,9.701112478,RH03,119
120,A,9.909953871,24,56.85979484,2.418680198,2.496441908,-57.23250746,3.056720139,RH01,120
121,A,15.15921245,24,74.52267805,2.461265051,2.800293646,1467.986727,13.69433418,RH01,121
122,A,30.11542149,24,116.7074346,2.418793256,2.70979721,226.5256676,11.91640903,RH03,122
123,A,16.91605349,24,91.53586827,2.429255397,2.454767904,-411.673852,0.793803482,RH01,123
124,A,16.34122999,24,72.37305941,2.404011321,2.582903929,183.5241363,7.445348749,RH03,124
125,A,11.03241993,24,101.6655507,2.439169403,2.910251653,2585.587064,19.41365867,RH03,125
126,A,12.61558727,24,94.38981439,2.402284937,2.812084897,3861.457379,16.93796225,RH03,126
127,A,26.03832353,24,86.20584535,2.455157199,2.828207303,1722.193377,15.17914926,RH03,127
128,A,18.91485937,24,99.27173515,2.34439801,2.312034794,-1432.589746,-1.06863301,RH04,128
129,A,13.63654116,24,63.2680907,2.427544584,2.728001881,852.4462997,12.25667929,RH03,129
130,A,21.48849681,23.99999999,79.53564269,2.441006707,2.850060358,1505.973199,16.71174804,RH04,130
131,A,17.550662,24,73.25584958,2.401120293,2.88138761,3786.466964,20.09931773,RH01,131
132,A,13.73469726,24,69.28775518,2.381712698,2.400302252,-1477.103192,0.87024468,RH01,132
133,A,10.31793405,24,50.04426809,2.396569544,2.042158116,-3216.16664,-14.79252489,RH01,133
134,A,8.657124831,24,62.39789381,2.403904593,2.673631561,2879.420466,11.26573407,RH03,134
135,A,12.44729161,24,72.92419906,2.427087388,2.638143355,972.9882813,8.678314462,RH03,135
136,A,-0.648378774,24,23.29618055,2.414795765,2.320449242,1098.096412,-3.887426714,RH03,136
137,A,23.64407856,24,85.80508559,2.37223339,2.832435076,1481.792147,19.34952201,RH03,137
138,A,11.53314293,24,58.41732911,2.354895085,2.127024374,-809.6859406,-9.212887811,RH03,138
139,A,15.66857883,24,75.62181891,2.373289213,2.568383836,336.0510088,8.25451412,RH03,139
140,A,3.001808604,24,56.93266335,2.413511899,2.649189837,3018.056538,9.722091641,RH03,140
141,A,28.55845729,24,107.8330837,2.432073138,2.659536893,609.7698415,9.207735877,RH02,141
142,A,10.36527986,24,61.92019492,2.410306247,2.685273989,2970.057804,11.28819493,RH03,142
143,A,21.99223024,24,116.1984998,2.317949825,2.42292438,-703.1201981,4.775916307,RH02,143
144,A,0.817788031,24,58.92860419,2.459482349,2.408170061,-1020.776274,-2.448711771,RH03,144
145,A,9.026614919,24,60.60467925,2.413899977,3.011066389,5795.438022,24.8971673,RH01,145
146,A,25.14090106,24,107.5832185,2.434368498,2.813152943,1213.750068,15.44237623,RH01,146
147,A,22.83711259,24,66.60841776,2.391391344,2.792025046,3079.754494,16.73381902,RH01,147
148,A,17.84939813,24,66.01743872,2.402262053,2.994700521,5355.341139,24.77068501,RH02,148
149,A,16.92253165,24,70.72664144,2.396641606,2.571012833,1518.771051,7.255105684,RH01,149
150,A,7.133080857,24,57.0831502,2.467913116,2.632283427,572.1471804,6.541761131,RH03,150
151,A,15.34032423,24,80.77773324,2.415651456,2.611196143,527.1743014,7.978029223,RH01,151
152,A,19.70318124,24.00000001,77.00941007,2.387567906,2.914952949,4543.368313,22.0182291,RH03,152
153,A,22.74077118,24,101.4571685,2.463819467,2.957664422,3768.620021,20.10877598,RH01,153
154,A,16.29986723,24,66.91740669,2.378746987,2.546099028,1701.93507,7.033385903,RH01,154
155,A,-2.114343452,24,44.80797388,2.403452786,2.291517257,-415.2833403,-4.649863652,RH01,155
156,A,18.87567938,24,66.12192589,2.366675857,2.694975474,2125.873729,13.80494197,RH03,156
157,A,12.19706618,24,67.61422163,2.394901534,2.286365573,588.9962957,-4.486631293,RH03,157
158,A,3.17880013,24,76.64070017,2.437483226,2.461124903,-680.1687851,0.959533083,RH01,158
159,A,17.8743948,24,98.25459827,2.448296476,2.932603068,3487.803453,19.96750031,RH04,159
160,A,2.209750531,24,58.67009435,2.376662511,2.329795503,-1616.554151,-1.749852511,RH01,160
161,A,28.60114666,24,73.62695778,2.399587376,2.860229504,3802.853393,19.13734272,RH03,161
162,A,9.124035856,24,51.76870204,2.418900455,2.480245007,28.46797357,2.49752,RH02,162
163,A,-2.412213252,23.99999999,39.93079264,2.43788202,2.536840503,3224.134278,3.915094986,RH01,163
164,A,11.13653408,24,49.71551059,2.440089976,2.66086808,1155.055978,9.070092147,RH02,164
165,A,9.989940813,24,54.52071611,2.407243699,2.394729151,1685.703563,-0.753116267,RH01,165
166,A,13.95471351,24,71.70705641,2.435491824,2.605216228,973.4259544,6.851953027,RH03,166
167,A,14.15296492,24,72.86207463,2.399178044,2.907106658,3234.562415,21.08333615,RH02,167
168,A,32.69272781,24,105.5630018,2.379159954,2.844251438,2729.608097,19.42405956,RH03,168
169,A,-6.618938522,24,28.37605627,2.42578392,2.390730625,-517.2835105,-1.616580302,RH03,169
170,A,13.79991812,24,98.80152444,2.377870657,2.426843441,398.9991718,2.167910009,RH03,170
171,A,37.96608971,24.00000001,118.9477735,2.412386131,3.071903195,3874.281139,27.17700319,RH01,171
172,A,11.53362046,24,66.29554891,2.389096106,2.614426943,-212.598324,9.394137873,RH03,172
173,A,10.81915698,24,67.655523,2.325440534,2.369952898,851.2297962,2.218539674,RH01,173
174,A,20.77703585,24,51.77578916,2.369163,2.76526454,2810.246634,16.73311107,RH01,174
175,A,12.23571543,24,78.85793933,2.425730387,2.794782473,2937.336011,15.27575607,RH02,175
176,A,17.25621828,24,88.54741281,2.429665197,2.778463931,857.8575365,14.29406153,RH03,176
177,A,14.64982137,24,56.77726193,2.418764612,2.542500136,1497.070214,5.026339952,RH03,177
178,A,14.45270438,24,99.1922634,2.415518177,2.52268587,-1468.217515,4.361085036,RH04,178
179,A,5.492870067,24,58.52754029,2.418561757,2.423027252,-74.11215034,0.06080173,RH04,179
180,A,14.40968671,24,78.69454735,2.442446786,2.645885071,-784.1699818,8.264127943,RH01,180
181,A,18.26422598,24,74.44713409,2.32709049,2.297270134,-167.6670531,-0.817278939,RH04,181
182,A,12.2801893,24.00000001,52.62013996,2.451197236,2.477497474,-758.9796241,0.720400464,RH03,182
183,A,12.97861631,24,61.69159782,2.416304499,2.716113382,3379.186802,12.17542198,RH04,183
184,A,10.4762454,24,56.79900343,2.438585116,2.578628545,2046.536501,5.712504014,RH03,184
185,A,14.528928,23.99999999,36.80927032,2.462451934,3.016815425,4521.896965,22.83963558,RH03,185
186,A,12.14013721,24,65.68017239,2.456267774,2.898313491,2343.42701,18.13831969,RH03,186
187,A,12.58329307,24,61.51943185,2.405823607,2.856859472,1787.949854,18.80480366,RH01,187
188,A,10.07023247,24,79.40860513,2.443909299,2.687519582,2013.391113,9.921787453,RH02,188
189,A,1.409411986,24,45.54745918,2.449128921,2.719347922,1548.719966,11.07089511,RH03,189
190,A,9.790094156,24,69.68861395,2.399557577,2.511075545,-1448.408132,4.627116122,RH01,190
191,A,14.54789397,24,61.19704068,2.414662186,2.676608362,2949.567036,10.75745426,RH01,191
192,A,15.95969635,24,77.06547587,2.428931106,3.028717568,4000.383439,25.03407764,RH03,192
193,A,22.8754055,24,106.7579048,2.386971387,2.570427793,-1929.870342,7.647329948,RH04,193
194,A,29.49818558,24,81.86057507,2.371981079,2.940287252,3342.074906,23.74525612,RH03,194
195,A,0.522650984,24,35.46140988,2.391542299,2.249132264,850.9639328,-5.685380537,RH01,195
196,A,12.79854114,24,55.11717603,2.419436591,2.532959254,1746.565902,4.635375808,RH03,196
197,A,17.55101473,24,68.7735555,2.448258463,2.87368797,3087.729191,17.37859111,RH02,197
198,A,15.24419012,24,74.60307273,2.395378494,2.85750173,4073.558339,19.22634564,RH01,198
199,A,19.37231888,24,67.44916056,2.397651895,2.661932196,2578.046758,11.10711769,RH03,199
200,A,13.73867626,24,58.80722167,2.377898293,2.256720884,-53.04825881,-4.974133891,RH04,200
201,A,7.974641181,24.00000001,59.14791668,2.369516423,2.372292861,-175.0218428,0.386701816,RH01,201
202,A,9.267605252,24,49.61772238,2.420705361,2.755144905,4591.286878,13.72293706,RH03,202
203,A,20.68124774,24,87.08254335,2.4035742,2.727530309,1489.787875,13.32243909,RH01,203
204,A,14.1032629,24,94.6619258,2.516122044,3.14943528,2647.113118,25.71417163,RH02,204
205,A,20.9657008,24,97.15206521,2.377221292,2.688184923,3478.168461,12.95344224,RH03,205
206,A,13.76533153,24,68.71644018,2.384107885,2.393717968,-1235.566911,0.53004765,RH03,206
207,A,14.77628862,24,78.25065933,2.41782933,2.78882492,3175.292259,15.44772884,RH01,207
208,A,18.31745577,24,89.13572529,2.366343594,2.68347313,1376.082859,13.42095413,RH01,208
209,A,10.46508453,24,66.65865166,2.428259047,2.847736927,3593.124505,17.46512715,RH02,209
210,A,16.82195237,24,73.59926245,2.374709083,2.575511361,1292.311824,8.348120153,RH03,210
211,A,27.87626525,24,104.1233806,2.411264268,3.318534394,7903.207652,37.6306654,RH03,211
212,A,9.473551571,24,50.2268138,2.422912132,2.558561332,618.3971871,5.551893097,RH01,212
213,A,-0.934349337,24,60.02890453,2.398711267,2.252514951,-1210.23862,-5.924519387,RH01,213
214,A,19.71242494,24,87.72252223,2.352845506,2.658842067,1276.543284,13.08715378,RH01,214
215,A,13.82145529,24,89.65174863,2.414169723,2.873499106,2895.438634,19.09393996,RH03,215
216,A,14.30246902,24,86.92332322,2.372272183,2.670835118,1984.668519,12.62537868,RH01,216
217,A,15.05085415,24,84.55824193,2.404155484,2.756447061,2734.649871,14.55085919,RH03,217
218,A,17.84647901,24,95.39358792,2.423957391,2.69135983,569.5032004,11.0323825,RH01,218
219,A,13.49365635,24,74.02719477,2.407068929,2.455333052,-808.3124778,1.90869304,RH03,219
220,A,12.29506659,24,74.12225901,2.429255618,2.850403651,1133.14445,17.40010945,RH03,220
221,A,11.68231646,24,82.46550959,2.405629947,2.505616413,183.8884672,4.16323904,RH01,221
222,A,11.49602387,24,75.85851417,2.390610457,2.396345982,891.4578983,0.174883537,RH01,222
223,A,22.70911795,24,91.17460784,2.394714869,2.931522469,2509.442009,22.33570329,RH03,223
224,A,7.581058592,24,39.38964484,2.443674151,2.348192964,-1155.692107,-4.279656207,RH03,224
225,A,13.28036305,24,70.39674531,2.385872777,2.441243336,654.2153388,2.572302108,RH03,225
226,A,5.149386794,24,49.6623319,2.424617706,2.711238755,3113.173566,11.92442537,RH04,226
227,A,13.95630885,24,63.32254608,2.461231332,2.867854374,2893.142704,16.66141229,RH03,227
228,A,30.0752092,24,105.1377407,2.370550874,2.520124428,-131.2965041,6.241401071,RH04,228
229,A,13.76467824,24,84.81506899,2.430999968,3.088416468,3839.130204,27.16767112,RH02,229
230,A,20.86628023,24,59.9159172,2.442221865,2.624105234,1492.604341,7.25979363,RH03,230
231,A,10.67429073,24.00000001,59.57944496,2.390448532,2.667650825,3022.780367,11.6978434,RH04,231
232,A,-0.764449054,24,67.56650852,2.411828529,2.380738396,953.8059772,-1.168091512,RH01,232
233,A,4.503317901,24,68.41551535,2.442501865,2.40350379,-688.4556091,-1.898981794,RH03,233
234,A,14.39833154,24,101.5656378,2.422914531,3.037919079,4337.310559,25.45215968,RH03,234
235,A,15.81990913,24,88.46756208,2.402635332,2.437033703,-737.6209592,1.408446235,RH03,235
236,A,8.404393399,24,82.7726233,2.429614057,2.432148976,-860.5654315,-0.169213352,RH03,236
237,A,22.02907401,24,83.90075112,2.37840321,2.618728076,2189.857452,10.00901253,RH01,237
238,A,12.65081067,23.99999999,71.32501606,2.409885109,2.984842717,4281.594949,24.00436977,RH02,238
239,A,17.61270876,24,98.31050752,2.427986267,2.890234468,2278.402023,19.24326971,RH03,239
240,A,14.47147589,24,73.57537706,2.434646752,2.594374872,-383.602438,6.446988118,RH03,240
241,A,17.17882744,24,80.36964418,2.39633886,2.674807171,1729.633899,11.54938874,RH01,241
242,A,13.92582162,24,65.5719789,2.436546469,2.525765957,290.0227046,3.436713013,RH01,242
243,A,9.434474035,24,57.7929402,2.406962278,2.688164533,2292.294386,11.7893459,RH03,243
244,A,6.972265357,24,73.87913609,2.37266093,2.555450268,2592.646162,7.632098936,RH01,244
245,A,9.325498136,24.00000001,90.80970862,2.412581063,2.652510189,120.8446761,9.864969315,RH02,245
246,A,15.05800705,24,56.33738274,2.412310427,2.95087849,4149.091618,22.30623869,RH04,246
247,A,14.24932867,24,93.10956261,2.414214753,2.652481201,-878.2283806,9.854668191,RH01,247
248,A,26.36424417,24,75.65300135,2.410133507,2.774665362,1441.347992,15.16585249,RH03,248
249,A,13.62314746,24,59.34006138,2.423271476,3.01337184,5130.052918,24.4305227,RH03,249
250,A,27.75467501,24,101.2273548,2.418928655,3.006304125,3857.508537,24.33047953,RH01,250
251,A,21.24152262,24,70.70807101,2.418058868,3.042755676,5883.509372,25.89162056,RH03,251
252,A,27.13617658,24,88.44052188,2.402480882,2.919473452,3609.165026,21.51368285,RH01,252
253,A,6.029072597,24,56.20054018,2.407993869,2.289347308,884.1849026,-5.108549333,RH01,253
254,A,-0.135939783,24,46.21415353,2.404946083,2.042901501,-2023.428659,-15.05897048,RH02,254
255,A,26.09176902,24,143.2796081,2.418933196,2.964919381,2553.994161,22.56192598,RH01,255
256,A,17.62910913,24,78.29876102,2.455879182,3.430182761,5332.80664,40.28969888,RH01,256
257,A,13.41541305,24,85.47294561,2.339506797,2.458860881,464.1214209,5.368929808,RH03,257
258,A,5.167069218,24,62.94811917,2.452241563,2.366207097,-670.1828644,-3.799740554,RH03,258
259,A,11.16284709,24,54.23962683,2.362860714,2.718435685,3145.534412,14.98427964,RH03,259
260,A,20.98570588,24,89.72508433,2.395602272,2.748474733,2128.265838,14.83310451,RH01,260
261,A,29.51685131,24,101.4819171,2.393033242,2.567389829,-609.7169371,7.319594325,RH04,261
262,A,29.70013594,24,74.03464357,2.423255635,3.135621674,4948.549292,29.40275343,RH03,262
263,A,25.0153196,24,116.3904565,2.388249328,2.656430674,829.266785,11.23884193,RH01,263
264,A,9.650854183,24,67.73795566,2.382943451,2.779920021,1728.07719,16.58454547,RH03,264
265,A,11.0403354,24,61.88193826,2.410753172,2.611779876,1762.62393,8.332646824,RH04,265
266,A,10.77532124,24,39.56743252,2.432264266,2.568114784,-35.01679603,5.582554446,RH04,266
267,A,11.52461938,24,51.57555373,2.460694791,2.799279849,2322.655225,13.75076072,RH01,267
268,A,10.063594,24,81.70789916,2.411312876,2.734737885,1866.445625,13.56570924,RH01,268
269,A,18.69603038,24,85.67439569,2.379475394,2.632513903,1677.719125,10.57269534,RH01,269
270,A,20.03241551,23.99999999,88.4645014,2.36528271,2.740029715,2564.899283,15.70331653,RH03,270
271,A,20.38170679,24,91.06236569,2.423048164,2.975347159,4270.966525,22.85090583,RH03,271
272,A,15.22634331,24,54.96073674,2.408913627,3.01202564,6050.396215,25.14615054,RH01,272
273,A,9.358511564,24,83.02190797,2.392232509,3.011254018,5009.646149,26.03265453,RH03,273
274,A,24.80808858,24,95.28048094,2.420232269,2.666872122,300.5039599,10.04207596,RH03,274
275,A,16.18836324,24,77.49202902,2.41681523,2.836735637,3106.594669,17.49117462,RH01,275
276,A,4.791242139,24,37.98429345,2.398361201,2.759504961,3350.300126,15.1408925,RH01,276
277,A,12.01402888,24,65.15615599,2.390682987,2.527944857,668.4901038,5.826523541,RH03,277
278,A,8.823270854,24,54.5210568,2.438197583,2.734990033,3191.520333,12.04761026,RH01,278
279,A,10.96475984,24,75.83489669,2.405803475,2.637577627,2496.621412,9.59767298,RH03,279
280,A,13.29755619,24,79.46460501,2.426428553,2.353814148,-1185.867043,-3.182425852,RH02,280
281,A,15.25415089,24,94.78016188,2.429208771,2.855977482,2016.465086,17.70034516,RH01,281
282,A,5.581895905,23.99999999,81.42075665,2.43768618,2.451629981,205.9489507,0.383623163,RH04,282
283,A,19.59855883,24,88.49188028,2.393196326,2.704826455,2595.358911,13.18523764,RH01,283
284,A,-0.943238153,24.00000001,47.40557076,2.408591823,2.513640995,2088.078254,4.390057152,RH01,284
285,A,16.25718489,24.00000001,92.37246038,2.414822972,2.668523766,1958.660318,10.43529215,RH04,285
