Run,Base_Cake,Desiccator,T_C,RH_pct,RH_Sensor,Initial_g,Final_g,Time_min,Pct_Change,Run_Global
16,A,17,24,80,RH01,2.3832,2.4065889862356054,2880,0.9814109699397908,64
17,A,20,24,80,RH02,2.4071,2.419358209423775,1440,0.5092521882670146,65
18,B,20,24,80,RH02,2.4422,2.4433479609928344,1440,0.04700519993587804,66
19,A,3,24,56,RH03,2.4438,2.4625334560205765,1440,0.7665707513125671,67
20,B,3,24,56,RH03,2.4488,2.4597634541219406,1440,0.44770720850787404,68
21,A,2,24,33,RH04,2.4388,2.452153118545444,1440,0.5475282329606507,69
22,B,2,24,33,RH04,2.4288,2.4301743279968955,1440,0.05658465072856786,70
23,A,1,24,11,RH04,2.3825,2.39744146210488,1440,0.6271337714535239,71
24,B,1,24,11,RH04,2.5488,2.5656245712854666,1440,0.6600977434662091,72
1,A,4,24,80,RH03,2.4073,2.413979100049266,5,0.27745191913204376,73
2,A,18,24,80,RH03,2.3836,2.3924067557327358,10,0.3694728869246391,74
3,A,17,24,80,RH03,2.4041,2.4232034746935027,15,0.7946206353106222,75
4,A,20,24,80,RH03,2.3681,2.3827496665083556,20,0.6186253328979053,76
5,A,19,24,80,RH03,2.3895,2.398127813979296,30,0.3610719388698884,77
6,A,7,24,80,RH03,2.4102,2.4264442715018695,61,0.6739802299340069,78
7,A,4,24,80,RH02,2.3848,2.3978954916190554,284,0.5491232648044121,79
8,A,17,24,80,RH01,2.4199,2.4395155520377716,5631,0.8105934971598667,80
9,A,18,24,80,RH01,2.4,2.407425217724083,5630,0.3093840718367943,81
10,A,20,24,80,RH01,2.4065,2.416648243132637,5629,0.42170135602066955,82
11,A,17,24,80,RH01,2.493,2.5030310231227246,1440,0.40236755406035274,83
12,A,18,24,80,RH01,2.4084,2.410349491796756,1440,0.08094551556036444,84
13,A,20,24,80,RH01,2.4395,2.454352556247697,1440,0.6088360831193729,85
14,A,20,24,80,RH02,2.4218,2.436290030974496,480,0.5983165816539668,86
15,A,18,24,80,RH03,2.3842,2.3966344145099807,960,0.5215340369927383,87
16,A,17,24,80,RH01,2.3832,2.393915435831221,2880,0.44962385998745596,88
17,A,20,24,80,RH02,2.4071,2.4093961032604314,1440,0.09538877738487578,89
18,B,20,24,80,RH02,2.4422,2.4503339078087,1440,0.3330565804888974,90
19,A,3,24,56,RH03,2.4438,2.450625944428429,1440,0.27931681923351437,91
20,B,3,24,56,RH03,2.4488,2.4637121663130466,1440,0.6089581147111597,92
21,A,2,24,33,RH04,2.4388,2.465281850527617,1440,1.085855770363159,93
22,B,2,24,33,RH04,2.4288,2.444154404350574,1440,0.632180679783197,94
23,A,1,24,11,RH04,2.3825,2.394356897817061,1440,0.49766622527014986,95
24,B,1,24,11,RH04,2.5488,2.5520698961556567,1440,0.12829159430542664,96
1,A,4,24,80,RH03,2.4073,2.4202529365531733,5,0.5380690629823079,97
2,A,18,24,80,RH03,2.3836,2.41360887169796,10,1.2589726337455858,98
3,A,17,24,80,RH03,2.4041,2.4152139550137095,15,0.46229171056566326,99
4,A,20,24,80,RH03,2.3681,2.382556402784141,20,0.6104642027000837,100
5,A,19,24,80,RH03,2.3895,2.401676568678868,30,0.509586469088427,101
6,A,7,24,80,RH03,2.4102,2.414282796581188,61,0.16939658871414043,102
7,A,4,24,80,RH02,2.3848,2.405377171544166,284,0.8628468443545061,103
8,A,17,24,80,RH01,2.4199,2.4379422882373967,5631,0.7455799098060323,104
9,A,18,24,80,RH01,2.4,2.4181754300187097,5630,0.757309584112914,105
10,A,20,24,80,RH01,2.4065,2.4124484772701096,5629,0.24718376356157834,106
11,A,17,24,80,RH01,2.493,2.5164550986514906,1440,0.9408382932808297,107
12,A,18,24,80,RH01,2.4084,2.410795025701113,1440,0.09944468116231575,108
13,A,20,24,80,RH01,2.4395,2.4564803136409767,1440,0.6960571281400811,109
14,A,20,24,80,RH02,2.4218,2.45030789630376,480,1.1771366877429936,110
15,A,18,24,80,RH03,2.3842,2.38951292988087,960,0.22283910246079353,111
16,A,17,24,80,RH01,2.3832,2.391543837752432,2880,0.35011068111916843,112
17,A,20,24,80,RH02,2.4071,2.4203365324027075,1440,0.5498954095262923,113
18,B,20,24,80,RH02,2.4422,2.4410791728209857,1440,-0.04589416014307962,114
19,A,3,24,56,RH03,2.4438,2.457010422593493,1440,0.5405688924418082,115
20,B,3,24,56,RH03,2.4488,2.459810220764073,1440,0.44961698644533354,116
21,A,2,24,33,RH04,2.4388,2.4447548845326517,1440,0.2441727297298591,117
22,B,2,24,33,RH04,2.4288,2.443251624576534,1440,0.5950108933026368,118
23,A,1,24,11,RH04,2.3825,2.3925870653129198,1440,0.42338154513829734,119
24,B,1,24,11,RH04,2.5488,2.556789064458083,1440,0.3134441485437474,120
1,A,4,24,80,RH03,2.4073,2.4214606529017177,5,0.5882379803812389,121
2,A,18,24,80,RH03,2.3836,2.405341836407323,10,0.9121428262847284,122
3,A,17,24,80,RH03,2.4041,2.4050076686673743,15,0.0377550296316318,123
4,A,20,24,80,RH03,2.3681,2.3817258143211713,20,0.5753901575596913,124
5,A,19,24,80,RH03,2.3895,2.4037883698105698,30,0.5979648382745271,125
6,A,7,24,80,RH03,2.4102,2.4283860884566733,61,0.7545468615331932,126
7,A,4,24,80,RH02,2.3848,2.3883513198340935,284,0.14891478673657543,127
8,A,17,24,80,RH01,2.4199,2.4228973611259925,5631,0.12386301607471711,128
9,A,18,24,80,RH01,2.4,2.4162379792724415,5630,0.6765824696850693,129
10,A,20,24,80,RH01,2.4065,2.421157880848407,5629,0.6090954019699558,130
11,A,17,24,80,RH01,2.493,2.507837036027737,1440,0.595147855103763,131
12,A,18,24,80,RH01,2.4084,2.4234268376032575,1440,0.6239344628490927,132
13,A,20,24,80,RH01,2.4395,2.4472086390751278,1440,0.31599258352645276,133
14,A,20,24,80,RH02,2.4218,2.436080776011354,480,0.589676109148301,134
15,A,18,24,80,RH03,2.3842,2.398694070172516,960,0.6079217419896044,135
16,A,17,24,80,RH01,2.3832,2.3904853131016788,2880,0.3056945745920897,136
17,A,20,24,80,RH02,2.4071,2.4330902374773293,1440,1.0797323533434269,137
18,B,20,24,80,RH02,2.4422,2.4484856253162968,1440,0.25737553502156296,138
19,A,3,24,56,RH03,2.4438,2.461321217126338,1440,0.7169660825901489,139
20,B,3,24,56,RH03,2.4488,2.462542397384828,1440,0.5611890470772714,140
21,A,2,24,33,RH04,2.4388,2.4599585086942497,1440,0.8675786737022213,141
22,B,2,24,33,RH04,2.4288,2.4444627573985005,1440,0.6448763751029545,142
23,A,1,24,11,RH04,2.3825,2.3978393516752785,1440,0.6438342780809495,143
24,B,1,24,11,RH04,2.5488,2.580747931734153,1440,1.2534499267950823,144
1,A,4,24,80,RH03,2.4073,2.4180457915650395,5,0.44638356519913885,145
2,A,18,24,80,RH03,2.3836,2.390604903435912,10,0.29387915069275317,146
3,A,17,24,80,RH03,2.4041,2.410185875079212,15,0.25314567111234304,147
4,A,20,24,80,RH03,2.3681,2.37461835899252,20,0.27525691451036854,148
5,A,19,24,80,RH03,2.3895,2.401372696396065,30,0.49686948717576873,149
6,A,7,24,80,RH03,2.4102,2.4251997734691093,61,0.6223455924449932,150
7,A,4,24,80,RH02,2.3848,2.3991805166547264,284,0.6030072397990057,151
8,A,17,24,80,RH01,2.4199,2.438488582233027,5631,0.7681549747108072,152
9,A,18,24,80,RH01,2.4,2.412573613621521,5630,0.5239005675633721,153
10,A,20,24,80,RH01,2.4065,2.4295075892700373,5629,0.9560602231471951,154
11,A,17,24,80,RH01,2.493,2.503984231544213,1440,0.4406029500286132,155
12,A,18,24,80,RH01,2.4084,2.440577446262443,1440,1.3360507499768857,156
13,A,20,24,80,RH01,2.4395,2.456764346484618,1440,0.7077002043295019,157
14,A,20,24,80,RH02,2.4218,2.428165767489613,480,0.26285273307511525,158
15,A,18,24,80,RH03,2.3842,2.388938174318368,960,0.19873225058166633,159
16,A,17,24,80,RH01,2.3832,2.399042124780023,2880,0.6647417245729557,160
17,A,20,24,80,RH02,2.4071,2.4180032281883266,1440,0.45296116440224476,161
18,B,20,24,80,RH02,2.4422,2.4618541267935443,1440,0.8047713861904818,162
19,A,3,24,56,RH03,2.4438,2.4559738221097476,1440,0.49815132620293817,163
20,B,3,24,56,RH03,2.4488,2.446257829434956,1440,-0.10381291101944035,164
21,A,2,24,33,RH04,2.4388,2.4482148780046966,1440,0.3860455143798937,165
22,B,2,24,33,RH04,2.4288,2.447149775440536,1440,0.7555078821037557,166
23,A,1,24,11,RH04,2.3825,2.385985082079156,1440,0.14627836638640362,167
24,B,1,24,11,RH04,2.5488,2.5658828578999775,1440,0.6702313990888874,168
1,A,4,24,80,RH03,2.4073,2.413434829981499,5,0.25484276913966014,169
2,A,18,24,80,RH03,2.3836,2.3970939774875952,10,0.5661175317836584,170
3,A,17,24,80,RH03,2.4041,2.4170211387400484,15,0.5374626155338,171
4,A,20,24,80,RH03,2.3681,2.372294116113122,20,0.17710891065081308,172
5,A,19,24,80,RH03,2.3895,2.4044901986926566,30,0.627336208104485,173
6,A,7,24,80,RH03,2.4102,2.426787848596358,61,0.6882353579104703,174
7,A,4,24,80,RH02,2.3848,2.4049495418141733,284,0.8449153729525831,175
8,A,17,24,80,RH01,2.4199,2.440133766757158,5631,0.8361406156104709,176
9,A,18,24,80,RH01,2.4,2.402560780550709,5630,0.10669918961287272,177
10,A,20,24,80,RH01,2.4065,2.4122431721243327,5629,0.23865248802546318,178
11,A,17,24,80,RH01,2.493,2.5098155487634535,1440,0.6745105801625979,179
12,A,18,24,80,RH01,2.4084,2.424635886252531,1440,0.6741357852736627,180
13,A,20,24,80,RH01,2.4395,2.4559547764922303,1440,0.6745143058918144,181
14,A,20,24,80,RH02,2.4218,2.462384995372203,480,1.6758194471964163,182
15,A,18,24,80,RH03,2.3842,2.400681191466784,960,0.6912671532079501,183
16,A,17,24,80,RH01,2.3832,2.4037114801010353,2880,0.8606696920541796,184
17,A,20,24,80,RH02,2.4071,2.4265060529347133,1440,0.8062005290479607,185
18,B,20,24,80,RH02,2.4422,2.455771243780096,1440,0.5556974768690559,186
19,A,3,24,56,RH03,2.4438,2.4620720669431244,1440,0.7476907661479802,187
20,B,3,24,56,RH03,2.4488,2.456009007016726,1440,0.29438937507048296,188
21,A,2,24,33,RH04,2.4388,2.447930646138663,1440,0.374390935651269,189
22,B,2,24,33,RH04,2.4288,2.458692999999693,1440,1.230772397879317,190
23,A,1,24,11,RH04,2.3825,2.3815427220359506,1440,-0.040179557777524355,191
24,B,1,24,11,RH04,2.5488,2.553220569308989,1440,0.17343727671800724,192
1,A,4,24,80,RH03,2.4073,2.4164097152584554,5,0.37842044026317,193
2,A,18,24,80,RH03,2.3836,2.403781587928794,10,0.8466851790902099,194
3,A,17,24,80,RH03,2.4041,2.4170649267817224,15,0.5392840057286389,195
4,A,20,24,80,RH03,2.3681,2.372757497774157,20,0.1966765666212082,196
5,A,19,24,80,RH03,2.3895,2.39679774536017,30,0.30540888722200954,197
6,A,7,24,80,RH03,2.4102,2.4276469394834472,61,0.7238793246804027,198
7,A,4,24,80,RH02,2.3848,2.391975624970043,284,0.300890010484859,199
8,A,17,24,80,RH01,2.4199,2.4340549044227884,5631,0.5849375768745925,200
9,A,18,24,80,RH01,2.4,2.4128081172473075,5630,0.5336715519711441,201
10,A,20,24,80,RH01,2.4065,2.4143095712904596,5629,0.3245198957182549,202
11,A,17,24,80,RH01,2.493,2.521998157844064,1440,1.1631832267975977,203
12,A,18,24,80,RH01,2.4084,2.425503871720052,1440,0.7101757066954034,204
13,A,20,24,80,RH01,2.4395,2.437364393979546,1440,-0.08754277599728211,205
14,A,20,24,80,RH02,2.4218,2.4357480251785257,480,0.5759362944308283,206
15,A,18,24,80,RH03,2.3842,2.391864346132097,960,0.3214640605694836,207
16,A,17,24,80,RH01,2.3832,2.401687197370459,2880,0.7757300004388672,208
17,A,20,24,80,RH02,2.4071,2.413893889991556,1440,0.28224377847018983,209
18,B,20,24,80,RH02,2.4422,2.4580388611234776,1440,0.6485488954007574,210
19,A,3,24,56,RH03,2.4438,2.4628549576305385,1440,0.7797265582510364,211
20,B,3,24,56,RH03,2.4488,2.453197808437822,1440,0.17959034783656022,212
21,A,2,24,33,RH04,2.4388,2.448006870125422,1440,0.37751640665171315,213
22,B,2,24,33,RH04,2.4288,2.451119953696234,1440,0.9189704255695867,214
23,A,1,24,11,RH04,2.3825,2.397783606779093,1440,0.6414945132882867,215
24,B,1,24,11,RH04,2.5488,2.562644617546341,1440,0.5431817932494238,216
1,A,4,24,80,RH03,2.4073,2.435143959839206,5,1.15664685910379,217
2,A,18,24,80,RH03,2.3836,2.4033776725851492,10,0.829739578165344,218
3,A,17,24,80,RH03,2.4041,2.40564316799455,15,0.06418901021379603,219
4,A,20,24,80,RH03,2.3681,2.3769739758761363,20,0.37472977814012465,220
5,A,19,24,80,RH03,2.3895,2.4110072525729445,30,0.9000733447559868,221
6,A,7,24,80,RH03,2.4102,2.417616165161897,61,0.30769916031436584,222
7,A,4,24,80,RH02,2.3848,2.400376221716729,284,0.6531458284438685,223
8,A,17,24,80,RH01,2.4199,2.438107090837681,5631,0.7523902160288011,224
9,A,18,24,80,RH01,2.4,2.4058061006046376,5630,0.24192085852657513,225
10,A,20,24,80,RH01,2.4065,2.418584056691912,5629,0.50214239318146,226
11,A,17,24,80,RH01,2.493,2.4817221615636234,1440,-0.4523802020207217,227
12,A,18,24,80,RH01,2.4084,2.413522274413831,1440,0.21268370759971306,228
13,A,20,24,80,RH01,2.4395,2.450336979984029,1440,0.44422955458205193,229
14,A,20,24,80,RH02,2.4218,2.4253277160697526,480,0.1456650454105452,230
15,A,18,24,80,RH03,2.3842,2.4082738250925013,960,1.0097233911794905,231
16,A,17,24,80,RH01,2.3832,2.385367701204133,2880,0.09095758661181025,232
17,A,20,24,80,RH02,2.4071,2.416439226748215,1440,0.38798665399090493,233
18,B,20,24,80,RH02,2.4422,2.4660976621553683,1440,0.9785301021770529,234
19,A,3,24,56,RH03,2.4438,2.445980880224843,1440,0.08924135464616822,235
20,B,3,24,56,RH03,2.4488,2.467305646952028,1440,0.7557026687368681,236
21,A,2,24,33,RH04,2.4388,2.4443006501054727,1440,0.22554740468561474,237
22,B,2,24,33,RH04,2.4288,2.4451249024024073,1440,0.6721386035246951,238
23,A,1,24,11,RH04,2.3825,2.3905989498705074,1440,0.33993493685236165,239
24,B,1,24,11,RH04,2.5488,2.5594633212214015,1440,0.41836633793947575,240
1,A,4,24,80,RH03,2.4073,2.42063777091567,5,0.5540552035753744,241
2,A,18,24,80,RH03,2.3836,2.400729484027365,10,0.718639202356314,242
3,A,17,24,80,RH03,2.4041,2.428040149083085,15,0.9958050448436055,243
4,A,20,24,80,RH03,2.3681,2.3716203073516846,20,0.14865535035194533,244
5,A,19,24,80,RH03,2.3895,2.4172160497462234,30,1.15991001239688,245
6,A,7,24,80,RH03,2.4102,2.4086182739567725,61,-0.06562633985675048,246
7,A,4,24,80,RH02,2.3848,2.3961150287160775,284,0.474464471489325,247
8,A,17,24,80,RH01,2.4199,2.436754486423916,5631,0.696495161945373,248
9,A,18,24,80,RH01,2.4,2.414503141447692,5630,0.6042975603205099,249
10,A,20,24,80,RH01,2.4065,2.414518220816655,5629,0.33319014405382186,250
11,A,17,24,80,RH01,2.493,2.5044070536895777,1440,0.4575633248928175,251
12,A,18,24,80,RH01,2.4084,2.417361649646903,1440,0.37209971960235017,252
13,A,20,24,80,RH01,2.4395,2.4478721340263037,1440,0.3431905729167366,253
14,A,20,24,80,RH02,2.4218,2.440566059075697,480,0.7748806291063074,254
15,A,18,24,80,RH03,2.3842,2.3991514289649136,960,0.6271046457895142,255
16,A,17,24,80,RH01,2.3832,2.3906386135577247,2880,0.31212712142180377,256
17,A,20,24,80,RH02,2.4071,2.426113200580466,1440,0.7898799626299753,257
18,B,20,24,80,RH02,2.4422,2.4623559293796555,1440,0.82531853982701,258
19,A,3,24,56,RH03,2.4438,2.461123820891679,1440,0.7088886525770837,259
20,B,3,24,56,RH03,2.4488,2.453358360040805,1440,0.1861466857564947,260
21,A,2,24,33,RH04,2.4388,2.4569492589325237,1440,0.7441880815369786,261
22,B,2,24,33,RH04,2.4288,2.444242397227109,1440,0.6358035748974485,262
23,A,1,24,11,RH04,2.3825,2.395727597472199,1440,0.5551982149926347,263
24,B,1,24,11,RH04,2.5488,2.564043393105177,1440,0.5980615625069361,264
1,A,4,24,80,RH03,2.4073,2.423769042577072,5,0.6841292143510114,265
2,A,18,24,80,RH03,2.3836,2.394548880780976,10,0.4593422042698318,266
3,A,17,24,80,RH03,2.4041,2.4150313378579646,15,0.45469563903183396,267
4,A,20,24,80,RH03,2.3681,2.3882201603895727,20,0.8496330555961571,268
5,A,19,24,80,RH03,2.3895,2.407842397097721,30,0.767624904696409,269
6,A,7,24,80,RH03,2.4102,2.428615202774066,61,0.7640528908001916,270
7,A,4,24,80,RH02,2.3848,2.406540877577905,284,0.9116436421462988,271
8,A,17,24,80,RH01,2.4199,2.4326359615891016,5631,0.5263011524898278,272
9,A,18,24,80,RH01,2.4,2.4173900613933235,5630,0.7245858913884892,273
10,A,20,24,80,RH01,2.4065,2.4167738291507734,5629,0.4269199730219632,274
11,A,17,24,80,RH01,2.493,2.508388040150261,1440,0.6172499057465326,275
12,A,18,24,80,RH01,2.4084,2.4199833704035822,1440,0.48095708368969464,276
13,A,20,24,80,RH01,2.4395,2.4528952649697993,1440,0.5490987894978154,277
14,A,20,24,80,RH02,2.4218,2.438717413852609,480,0.6985471076310741,278
15,A,18,24,80,RH03,2.3842,2.390745434741104,960,0.2745337950299583,279
16,A,17,24,80,RH01,2.3832,2.410552372066241,2880,1.1477161827056381,280
17,A,20,24,80,RH02,2.4071,2.412352166682976,1440,0.21819478555008942,281
18,B,20,24,80,RH02,2.4422,2.4574538722654853,1440,0.6245955394924739,282
19,A,3,24,56,RH03,2.4438,2.4623117558745196,1440,0.7574988081888807,283
20,B,3,24,56,RH03,2.4488,2.4692065266652534,1440,0.833327616189715,284
21,A,2,24,33,RH04,2.4388,2.451392157711143,1440,0.5163259681459257,285
22,B,2,24,33,RH04,2.4288,2.437623599497893,1440,0.3632904931609516,286
23,A,1,24,11,RH04,2.3825,2.390048986666967,1440,0.3168514865463665,287
24,B,1,24,11,RH04,2.5488,2.5659000707911526,1440,0.6709067322329088,288
1,A,4,24,80,RH03,2.4073,2.4138563017944845,5,0.2723508409622466,289
2,A,18,24,80,RH03,2.3836,2.393696554123508,10,0.423584247504102,290
3,A,17,24,80,RH03,2.4041,2.419579505527672,15,0.6438794362826873,291
4,A,20,24,80,RH03,2.3681,2.3764092516595148,20,0.3508826341588076,292
5,A,19,24,80,RH03,2.3895,2.3960313130943818,30,0.2733338813300706,293
6,A,7,24,80,RH03,2.4102,2.4244950447514135,61,0.5931061634475737,294
7,A,4,24,80,RH02,2.3848,2.39895354883634,284,0.5934899713326168,295
8,A,17,24,80,RH01,2.4199,2.428803224629758,5631,0.3679170473886611,296
9,A,18,24,80,RH01,2.4,2.409088524199548,5630,0.3786885083145032,297
10,A,20,24,80,RH01,2.4065,2.420689084522753,5629,0.589614981207291,298
11,A,17,24,80,RH01,2.493,2.495133377209941,1440,0.08557469755080277,299
12,A,18,24,80,RH01,2.4084,2.410754472737374,1440,0.09776086768703346,300
13,A,20,24,80,RH01,2.4395,2.446927465966764,1440,0.30446673362426924,301
14,A,20,24,80,RH02,2.4218,2.432842581063953,480,0.45596585448644583,302
15,A,18,24,80,RH03,2.3842,2.398821637453696,960,0.6132722696794014,303
16,A,17,24,80,RH01,2.3832,2.4061408468087024,2880,0.9626068650848656,304
17,A,20,24,80,RH02,2.4071,2.425810337437029,1440,0.7772978869606058,305
18,B,20,24,80,RH02,2.4422,2.453978912095427,1440,0.48230743163650797,306
19,A,3,24,56,RH03,2.4438,2.4491578162160943,1440,0.21924119060865738,307
20,B,3,24,56,RH03,2.4488,2.4593224882402005,1440,0.4296997811254805,308
21,A,2,24,33,RH04,2.4388,2.4538428980748574,1440,0.6168155681014269,309
22,B,2,24,33,RH04,2.4288,2.441195569409967,1440,0.5103577655618872,310
23,A,1,24,11,RH04,2.3825,2.405844251380686,1440,0.9798216739007732,311
24,B,1,24,11,RH04,2.5488,2.5645709927790836,1440,0.6187614869383109,312
1,A,4,24,80,RH03,2.4073,2.4248021108937388,5,0.7270431975133338,313
2,A,18,24,80,RH03,2.3836,2.3931256726496386,10,0.39963385843424915,314
3,A,17,24,80,RH03,2.4041,2.4182175422065613,15,0.5872277445431251,315
4,A,20,24,80,RH03,2.3681,2.3805035801928742,20,0.5237777202345385,316
5,A,19,24,80,RH03,2.3895,2.402625591112447,30,0.5493028295646495,317
6,A,7,24,80,RH03,2.4102,2.417143715456855,61,0.28809706484336006,318
7,A,4,24,80,RH02,2.3848,2.397376315590718,284,0.5273530522776828,319
8,A,17,24,80,RH01,2.4199,2.436098798194955,5631,0.669399487373635,320
9,A,18,24,80,RH01,2.4,2.422928233976124,5630,0.9553430823385125,321
10,A,20,24,80,RH01,2.4065,2.425939255728922,5629,0.807781247825562,322
11,A,17,24,80,RH01,2.493,2.522067251599729,1440,1.1659547372534669,323
12,A,18,24,80,RH01,2.4084,2.4153794403886213,1440,0.28979573113358514,324
13,A,20,24,80,RH01,2.4395,2.45856947857984,1440,0.7816961910162035,325
14,A,20,24,80,RH02,2.4218,2.4357254130084915,480,0.5750026017215055,326
15,A,18,24,80,RH03,2.3842,2.4122606244601323,960,1.1769408799653016,327
16,A,17,24,80,RH01,2.3832,2.389813630579025,2880,0.2775105143934546,328
17,A,20,24,80,RH02,2.4071,2.41355303666106,1440,0.2680834473457672,329
18,B,20,24,80,RH02,2.4422,2.436410832148865,1440,-0.2370472463817464,330
19,A,3,24,56,RH03,2.4438,2.4526532396340497,1440,0.3622734934957717,331
20,B,3,24,56,RH03,2.4488,2.4589206847897436,1440,0.4132916036321227,332
21,A,2,24,33,RH04,2.4388,2.4539821834211764,1440,0.6225267927331478,333
22,B,2,24,33,RH04,2.4288,2.457468615723134,1440,1.1803613192989924,334
23,A,1,24,11,RH04,2.3825,2.390765581121153,1440,0.3469289033012791,335
24,B,1,24,11,RH04,2.5488,2.561235412124342,1440,0.48789281718228006,336
1,A,4,24,80,RH03,2.4073,2.410283367802218,5,0.12393003789380735,337
2,A,18,24,80,RH03,2.3836,2.4090911153428713,10,1.069437629756306,338
